BehaviorSpace results (NetLogo 6.2.2),,,,,,,
Sugarscape 1 Immediate Growback.nlogo,,,,,,,
experiment,,,,,,,
02/17/2022 16:06:41:962 +0800,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
0,49,0,49,,,,
[run number],visualization,initial-population,[step],count turtles,rate-of-survival,,mean-rate-of-survival
1,no-visualization,100,1000,59,59.0%,,64.0%
2,no-visualization,100,1000,62,62.0%,,
3,no-visualization,100,1000,71,71.0%,,
4,no-visualization,100,1000,68,68.0%,,
5,no-visualization,100,1000,60,60.0%,,
6,no-visualization,200,1000,137,68.5%,,65.8%
7,no-visualization,200,1000,140,70.0%,,
8,no-visualization,200,1000,133,66.5%,,
9,no-visualization,200,1000,117,58.5%,,
10,no-visualization,200,1000,131,65.5%,,
11,no-visualization,300,1000,185,61.7%,,62.1%
12,no-visualization,300,1000,197,65.7%,,
13,no-visualization,300,1000,179,59.7%,,
14,no-visualization,300,1000,190,63.3%,,
15,no-visualization,300,1000,180,60.0%,,
16,no-visualization,400,1000,245,61.3%,,62.8%
17,no-visualization,400,1000,264,66.0%,,
18,no-visualization,400,1000,247,61.8%,,
19,no-visualization,400,1000,245,61.3%,,
20,no-visualization,400,1000,255,63.8%,,
21,no-visualization,500,1000,298,59.6%,,60.1%
22,no-visualization,500,1000,308,61.6%,,
23,no-visualization,500,1000,306,61.2%,,
24,no-visualization,500,1000,296,59.2%,,
25,no-visualization,500,1000,295,59.0%,,
26,no-visualization,600,1000,362,60.3%,,61.5%
27,no-visualization,600,1000,371,61.8%,,
28,no-visualization,600,1000,362,60.3%,,
29,no-visualization,600,1000,386,64.3%,,
30,no-visualization,600,1000,364,60.7%,,
31,no-visualization,700,1000,431,61.6%,,62.1%
32,no-visualization,700,1000,426,60.9%,,
33,no-visualization,700,1000,440,62.9%,,
34,no-visualization,700,1000,432,61.7%,,
35,no-visualization,700,1000,443,63.3%,,
36,no-visualization,800,1000,480,60.0%,,61.2%
37,no-visualization,800,1000,493,61.6%,,
38,no-visualization,800,1000,503,62.9%,,
39,no-visualization,800,1000,486,60.8%,,
40,no-visualization,800,1000,486,60.8%,,
41,no-visualization,900,1000,530,58.9%,,60.2%
42,no-visualization,900,1000,540,60.0%,,
43,no-visualization,900,1000,538,59.8%,,
44,no-visualization,900,1000,537,59.7%,,
45,no-visualization,900,1000,562,62.4%,,
46,no-visualization,1000,1000,591,59.1%,,58.9%
47,no-visualization,1000,1000,588,58.8%,,
48,no-visualization,1000,1000,584,58.4%,,
49,no-visualization,1000,1000,585,58.5%,,
50,no-visualization,1000,1000,598,59.8%,,